Gender,EmploymentStatus,Code Writer,CareerSwitcher,Language Known,Skill Big Data,Skill Degree,Skill Enterprise Tools,Skill Python,Skill SQL,Skill R,Skill Visualization,Current Job Title
1,3,1,2,1,1,3,1,3,2,2,2,DBA/Database Engineer
0,3,2,2,2,2,1,1,3,2,2,2,
1,1,1,2,4,2,1,2,3,3,3,2,
1,1,1,1,2,1,2,2,3,3,2,1,Operations Research Practitioner
1,1,1,1,2,2,2,2,2,2,2,2,Computer Scientist
1,2,1,2,2,2,3,3,2,1,2,3,Data Scientist
1,2,1,2,4,2,3,3,3,1,3,2,Computer Scientist
0,1,2,1,3,3,2,2,1,3,1,2,Software Developer/Software Engineer
0,2,1,2,2,2,3,1,2,3,1,1,Business Analyst
1,2,1,1,2,1,1,3,1,2,2,2,Software Developer/Software Engineer
0,3,2,2,2,3,2,3,2,3,1,2,
1,2,1,1,2,3,1,1,3,1,2,2,Data Scientist
1,1,2,1,4,3,1,2,1,2,3,1,Engineer
1,1,2,2,,2,2,1,2,3,1,2,
1,3,1,1,2,3,2,2,3,2,3,1,Software Developer/Software Engineer
1,1,1,2,4,3,2,2,3,3,3,2,DBA/Database Engineer
1,1,2,2,,1,2,3,2,1,1,1,
1,2,2,2,,1,2,3,2,2,2,3,
1,1,1,2,2,3,2,1,2,1,2,2,
1,2,1,2,2,1,3,3,3,3,3,3,
1,2,2,2,1,2,1,3,2,2,3,1,Scientist/Researcher
1,2,1,1,2,2,2,2,1,1,1,3,Researcher
1,3,1,1,2,1,2,2,1,3,2,3,Scientist/Researcher
1,1,1,2,2,2,2,2,2,2,3,2,Other
1,2,1,1,1,1,1,2,2,1,1,2,Software Developer/Software Engineer
1,1,1,1,2,1,1,1,3,1,1,3,Data Analyst
1,1,1,2,4,3,2,2,1,2,1,3,Engineer
1,3,1,2,2,3,2,3,3,1,2,2,Data Scientist
1,1,1,1,2,3,2,3,1,2,3,2,Data Scientist
0,1,2,1,1,2,3,2,3,1,2,3,
1,2,1,1,2,1,2,2,3,1,3,3,Business Analyst
1,1,1,1,2,1,3,3,2,2,1,2,Software Developer/Software Engineer
1,1,1,1,2,2,1,1,2,1,1,3,Data Scientist
1,3,1,2,2,3,1,1,3,2,1,2,Machine Learning Engineer
1,2,1,1,2,1,2,2,3,2,1,2,Engineer
0,3,1,2,3,1,1,1,3,2,3,2,
1,1,1,1,1,2,2,2,2,2,2,1,
1,3,1,2,2,1,1,2,1,3,3,2,Machine Learning Engineer
0,3,2,2,2,2,2,1,1,2,1,2,Other
1,3,1,1,2,2,2,3,3,3,1,1,Software Developer/Software Engineer
1,2,1,1,1,1,2,2,3,1,1,1,Operations Research Practitioner
1,2,1,1,2,2,2,2,3,2,2,1,Data Scientist
1,1,1,1,2,3,3,2,1,3,1,1,Data Scientist
0,2,2,1,4,3,3,1,2,3,3,1,
1,3,1,2,4,1,1,3,1,3,1,1,Data Scientist
1,2,1,1,2,3,1,1,3,3,3,3,Data Scientist
1,1,2,1,2,2,2,1,1,3,3,3,Software Developer/Software Engineer
0,2,1,2,2,3,2,1,1,3,2,1,
1,2,1,1,2,1,2,1,2,3,1,1,Scientist/Researcher
1,2,2,1,1,2,3,1,2,1,3,2,
1,1,1,1,2,1,2,3,3,2,3,3,
1,2,1,2,,1,1,3,3,3,2,1,Business Analyst
1,3,1,2,3,1,3,2,1,1,2,1,Scientist/Researcher
1,2,1,2,2,3,2,2,1,3,2,2,
0,2,2,2,3,3,3,2,3,1,1,2,
1,1,1,1,2,1,3,3,1,1,1,1,Other
0,1,1,1,4,1,1,1,3,3,3,2,
1,3,1,2,2,3,3,1,3,2,3,2,
1,3,2,1,2,3,2,1,3,3,1,1,
1,2,1,2,4,2,3,2,1,1,1,1,Researcher
1,1,1,1,2,2,3,2,2,3,2,3,Other
1,2,1,2,2,1,1,1,3,2,2,3,Scientist/Researcher
1,2,1,2,2,2,1,3,1,1,1,3,Data Analyst
1,3,2,2,2,3,2,3,2,3,3,3,Engineer
1,1,2,1,2,1,3,3,2,1,3,1,Other
1,1,1,2,4,2,2,1,3,2,2,1,Data Scientist
0,2,1,2,4,2,2,3,3,1,3,2,Statistician
1,1,1,1,2,1,3,1,3,1,1,2,Data Scientist
1,1,1,1,2,1,1,1,1,1,2,3,Data Scientist
0,3,1,2,2,1,2,3,2,2,2,2,Scientist/Researcher
1,3,2,2,2,3,3,3,2,1,3,1,
0,3,2,1,2,2,3,3,1,2,2,3,
1,3,1,1,4,3,3,2,3,2,2,1,Data Scientist
1,1,1,1,4,3,3,2,1,2,3,2,
1,1,1,1,2,1,2,2,2,3,2,3,Engineer
1,2,1,1,2,2,3,2,2,1,3,1,Scientist/Researcher
1,3,1,2,3,1,1,2,1,2,1,3,
1,1,1,1,2,2,2,2,3,1,2,2,Data Scientist
1,1,1,2,2,3,2,3,3,2,3,3,Data Scientist
1,1,2,1,3,3,1,2,2,3,2,2,Software Developer/Software Engineer
1,2,1,1,2,3,3,2,2,3,2,2,Engineer
1,3,1,1,2,3,3,3,3,3,2,2,Other
1,2,1,2,2,2,3,1,1,2,2,1,Machine Learning Engineer
1,1,1,1,4,2,2,3,2,1,2,1,Scientist/Researcher
1,1,2,2,2,1,2,3,1,3,2,1,
1,2,2,2,2,1,2,1,2,2,1,1,
0,2,1,2,4,2,2,3,1,3,1,1,Scientist/Researcher
0,2,1,2,4,1,1,2,2,1,3,2,Other
1,3,2,1,,2,1,2,2,1,1,1,
0,1,1,1,4,1,2,2,1,2,1,3,Predictive Modeler
1,3,2,2,,3,1,1,2,3,2,1,
1,1,2,2,2,1,1,1,3,2,1,2,
1,3,2,1,,1,1,2,2,3,1,3,
1,1,2,2,4,3,3,1,3,3,2,3,
1,2,1,1,2,1,1,1,2,3,3,2,
1,3,1,1,2,3,3,3,2,3,1,2,Scientist/Researcher
1,1,2,1,3,3,2,1,3,1,3,3,DBA/Database Engineer
1,1,1,1,2,2,3,2,3,3,1,3,
1,1,2,2,4,2,3,2,3,1,1,1,Data Scientist
1,1,1,1,4,3,2,1,2,2,3,3,Researcher
0,1,1,1,2,1,3,3,3,2,2,2,Business Analyst
1,2,2,1,4,3,2,2,3,2,1,1,
1,1,2,2,4,1,2,2,2,3,1,1,Software Developer/Software Engineer
1,1,1,1,4,3,3,2,1,2,2,1,
1,3,1,2,1,2,1,2,3,1,2,3,
1,1,1,1,2,3,2,2,2,2,1,2,
1,1,1,1,4,3,1,2,1,2,2,2,Predictive Modeler
0,3,2,2,4,1,3,3,2,1,2,3,
1,2,2,2,2,1,1,1,3,3,2,1,Software Developer/Software Engineer
1,1,1,1,2,1,3,1,1,2,2,2,
1,3,1,2,2,2,3,1,3,3,1,2,Data Scientist
0,1,2,2,2,2,2,3,3,1,1,2,Other
0,1,1,1,1,3,3,2,2,1,3,3,Data Analyst
1,3,1,1,2,1,3,3,3,3,1,2,
1,3,2,2,2,1,3,1,3,1,2,3,Machine Learning Engineer
1,1,1,2,2,3,3,3,2,3,3,1,Engineer
0,2,1,1,4,1,1,3,1,1,1,3,
1,1,2,2,2,2,3,2,2,1,3,2,
1,3,1,1,2,2,1,2,3,3,1,3,
1,2,1,2,3,1,1,2,1,2,2,2,Data Analyst
1,2,2,1,,1,3,3,2,2,3,1,
1,3,1,2,2,2,3,2,2,2,2,1,Software Developer/Software Engineer
1,3,2,1,2,1,2,2,2,3,2,1,
0,2,2,2,4,3,3,2,2,2,2,1,Researcher
1,3,1,2,2,1,2,1,1,3,1,1,
1,3,2,1,2,1,1,3,1,3,3,1,
0,2,1,1,,2,1,2,3,3,2,3,Data Analyst
1,3,1,1,2,2,1,2,3,2,2,3,Computer Scientist
1,2,2,1,2,2,2,3,1,3,1,3,Data Scientist
0,1,1,2,4,1,2,1,3,3,3,2,
1,1,1,2,2,2,2,1,3,2,1,3,Scientist/Researcher
1,1,1,2,2,1,2,1,1,3,1,1,Data Scientist
1,2,1,1,2,3,2,1,3,1,1,1,Researcher
1,1,1,1,4,3,1,3,3,3,3,1,Business Analyst
1,2,1,1,2,2,1,1,1,1,1,1,Data Scientist
1,2,1,2,2,2,3,1,1,2,3,2,Programmer
1,3,2,2,2,1,3,1,2,3,1,2,
1,2,1,1,4,2,3,1,2,2,3,1,Business Analyst
1,3,1,2,2,1,1,3,3,1,1,2,Other
0,3,1,2,2,3,2,3,3,2,1,1,
1,1,2,1,4,1,3,3,2,2,3,3,Business Analyst
1,1,2,2,1,3,1,2,2,3,2,3,
1,1,2,1,2,1,1,2,2,1,2,2,Engineer
1,2,1,1,2,2,1,1,3,1,3,2,
1,1,2,2,2,3,3,2,3,3,2,3,Scientist/Researcher
0,2,1,2,3,1,2,1,2,1,3,2,Data Analyst
1,2,1,1,2,3,3,3,1,1,2,3,Data Scientist
1,1,2,1,2,1,2,2,3,1,2,2,
1,2,1,2,2,2,2,2,3,2,3,3,
0,3,1,2,4,3,3,1,2,1,3,1,
1,2,2,2,,2,2,3,1,2,2,2,
0,2,2,1,2,2,2,1,2,3,3,3,Business Analyst
1,3,1,2,2,2,3,3,2,3,3,2,
1,3,2,1,4,2,3,2,2,2,3,3,Programmer
1,2,2,1,2,2,1,3,2,3,1,1,
1,2,2,2,2,1,3,3,1,2,1,2,
1,1,1,1,4,1,3,1,2,3,1,3,
1,1,1,1,2,3,2,3,3,3,3,2,Other
1,1,1,2,3,1,3,2,3,1,1,2,Data Analyst
1,1,2,1,2,2,3,3,2,2,3,3,Programmer
0,1,2,2,2,3,2,3,2,1,2,2,Software Developer/Software Engineer
1,2,1,2,3,1,3,1,1,2,1,3,
1,1,1,2,4,1,2,1,2,1,2,3,
1,3,1,1,4,2,2,3,1,1,3,3,DBA/Database Engineer
1,3,1,1,2,2,2,1,3,2,2,3,
1,2,1,2,2,2,2,1,1,2,2,1,Data Scientist
1,2,1,2,2,1,1,1,2,3,2,1,Programmer
1,3,2,2,2,3,1,1,2,1,3,2,Software Developer/Software Engineer
0,2,2,2,4,1,3,1,2,2,3,1,Other
1,2,1,1,2,3,2,2,3,1,3,2,
1,2,1,1,4,2,3,2,1,1,3,3,
1,3,1,2,4,1,1,3,3,2,2,3,DBA/Database Engineer
1,3,1,1,2,2,3,3,1,2,1,2,
0,2,2,1,4,1,2,2,1,2,1,2,
1,1,1,2,1,1,1,1,2,1,1,2,
1,3,1,2,2,2,1,3,1,3,3,1,Data Scientist
1,1,1,1,1,1,1,1,1,1,1,2,Researcher
1,3,1,2,2,3,3,3,1,1,1,2,
1,2,1,1,3,3,1,1,2,3,1,1,Other
1,1,1,2,4,2,3,3,2,1,1,2,Scientist/Researcher
1,1,1,1,4,3,2,3,1,2,2,3,
0,1,1,2,2,1,2,3,3,3,1,1,Scientist/Researcher
1,2,2,2,2,1,3,1,2,3,1,1,Other
1,1,1,2,2,2,2,3,3,3,3,2,Engineer
1,2,2,1,,3,2,2,1,2,2,2,
0,1,1,2,2,1,1,2,2,3,2,3,Data Scientist
0,2,1,1,2,1,2,3,2,2,2,1,
0,3,1,1,2,3,3,1,1,2,1,3,Scientist/Researcher
1,2,1,1,4,1,3,2,1,1,1,3,
1,1,1,1,4,3,1,1,1,2,1,2,Scientist/Researcher
1,2,2,2,2,3,1,2,3,3,3,2,
0,2,2,1,2,1,1,3,3,3,3,1,
1,1,2,1,1,2,2,1,2,1,3,2,
1,3,2,2,2,1,3,3,1,3,1,3,Researcher
0,2,1,1,4,1,1,3,2,2,1,2,Data Scientist
1,3,1,2,2,1,2,2,3,2,2,1,
0,3,1,1,4,1,3,1,2,1,3,1,
1,2,1,1,2,3,1,2,1,1,1,3,Scientist/Researcher
1,3,2,2,,,,,1,1,1,1,
